species,state,lat,lon,date_time,day,month,year
Lycorma delicatula,New Jersey,40.698253,-74.519853,2025-03-01 13:50:50,1,3,2025
Lycorma delicatula,New Jersey,40.698214,-74.519842,2025-03-01 13:50:24,1,3,2025
Lycorma delicatula,New York,40.743962,-73.742965,2024-09-21 13:45,21,9,2024
Lycorma delicatula,Virginia,38.487255,-78.02813,2025-02-16 15:15:49,16,2,2025
Lycorma delicatula,Pennsylvania,40.096811,-77.269389,2025-02-25 8:17:50,25,2,2025
Lycorma delicatula,New Jersey,40.989578,-74.000642,2023-06-19 19:43:36,19,6,2023
Lycorma delicatula,New York,40.907443,-73.893478,2024-12-08 14:22,8,12,2024
Lycorma delicatula,Virginia,39.001518,-77.25606,2024-11-10 14:58:25,10,11,2024
Lycorma delicatula,New York,41.088375,-73.853149,2024-06-05 10:28:02,5,6,2024
Lycorma delicatula,Maryland,39.511457,-77.572994,2024-06-05 11:21:17,5,6,2024
Lycorma delicatula,Maryland,39.694733,-77.523476,2023-07-27 11:58:09,27,7,2023
Lycorma delicatula,Pennsylvania,39.948466,-75.192807,2020-08-05 13:35:42,5,8,2020
Lycorma delicatula,Pennsylvania,40.396622,-75.5546,2020-06-09 12:48:52,9,6,2020
Lycorma delicatula,Pennsylvania,40.396094,-75.553886,2017-07-21 12:50:35,21,7,2017
Lycorma delicatula,New York,41.448417,-74.121964,2024-06-04 13:17:44,4,6,2024
Lycorma delicatula,Virginia,39.216087,-77.690405,2024-10-26 17:03:47,26,10,2024
Lycorma delicatula,Pennsylvania,40.296906,-75.157684,2024-10-31 14:55:21,31,10,2024
Lycorma delicatula,New York,40.808312,-73.423867,2025-02-24 16:19:03,24,2,2025
Lycorma delicatula,New York,40.803753,-73.420892,2025-02-24 15:13:10,24,2,2025
Lycorma delicatula,Maryland,39.225922,-76.868181,2025-02-22 15:52:16,22,2,2025
Lycorma delicatula,New York,40.70491,-73.843323,2024-10-06 12:21,6,10,2024
Lycorma delicatula,Maryland,39.699844,-77.312744,2024-08-27 17:38:17,27,8,2024
Lycorma delicatula,New York,40.704315,-73.843842,2024-10-06 12:10,6,10,2024
Lycorma delicatula,Virginia,38.369911,-78.925196,2025-02-22 13:37:07,22,2,2025
Lycorma delicatula,Maryland,39.190119,-76.894671,2024-06-28 13:37,28,6,2024
Lycorma delicatula,Pennsylvania,40.278092,-76.11974,2025-02-13 12:11,13,2,2025
Lycorma delicatula,Virginia,38.787098,-77.818382,2025-02-17 13:52:28,17,2,2025
Lycorma delicatula,New York,40.635855,-73.505394,2024-10-31 16:07:53,31,10,2024
Lycorma delicatula,New Jersey,40.728042,-74.30335,2024-10-05 11:25,5,10,2024
Lycorma delicatula,New York,40.885783,-73.63948,2024-06-28 18:07:06,28,6,2024
Lycorma delicatula,New York,40.80943,-73.958543,2023-06-09 18:41:36,9,6,2023
Lycorma delicatula,Pennsylvania,40.278218,-76.122025,2025-02-13 12:36,13,2,2025
Lycorma delicatula,Virginia,38.876874,-78.20505,2024-09-26 9:58:18,26,9,2024
Lycorma delicatula,Maryland,39.419808,-77.207472,2024-10-12 10:52:19,12,10,2024
Lycorma delicatula,New York,40.742395,-73.738434,2023-07-22 14:19,22,7,2023
Lycorma delicatula,Virginia,38.262727,-78.660743,2024-09-25 17:44:57,25,9,2024
Lycorma delicatula,New York,40.888062,-73.639038,2024-06-28 17:46:04,28,6,2024
Lycorma delicatula,New Jersey,40.178113,-74.631067,2021-10-07 12:59:04,7,10,2021
Lycorma delicatula,New York,40.736407,-73.634828,2024-09-18 11:05:01,18,9,2024
Lycorma delicatula,New York,40.885412,-73.639787,2024-06-28 17:01:23,28,6,2024
Lycorma delicatula,New York,40.88583,-73.639763,2024-06-28 17:06:49,28,6,2024
Lycorma delicatula,New York,40.884455,-73.640305,2024-06-28 16:45:44,28,6,2024
Lycorma delicatula,New York,40.8847,-73.63977,2024-06-28 16:51:02,28,6,2024
Lycorma delicatula,Connecticut,41.04504,-73.505071,2024-08-17 11:24,17,8,2024
Lycorma delicatula,New York,40.853837,-73.924866,2024-09-22 15:00,22,9,2024
Lycorma delicatula,Maryland,39.438333,-77.678098,2024-06-16 9:35,16,6,2024
Lycorma delicatula,Pennsylvania,40.287701,-76.032017,2019-06-22 14:46,22,6,2019
Lycorma delicatula,Maryland,39.215172,-76.932018,2024-10-10,10,10,2024
Lycorma delicatula,Virginia,38.910787,-77.274198,2025-01-30 13:43:09,30,1,2025
Lycorma delicatula,New York,40.75941,-73.97918,2023-09-20 18:22,20,9,2023
Lycorma delicatula,New Jersey,40.374234,-74.289506,2024-07-12 17:35:07,12,7,2024
Lycorma delicatula,New York,40.952137,-73.691923,2024-06-08 18:48:29,8,6,2024
Lycorma delicatula,New York,40.884362,-73.64052,2024-06-28 16:37:32,28,6,2024
Lycorma delicatula,New York,40.884528,-73.640158,2024-06-28 16:41:36,28,6,2024
Lycorma delicatula,New Jersey,40.313287,-74.223495,2022-11-03 15:30:16,3,11,2022
Lycorma delicatula,New York,40.779293,-73.96888,2024-10-02 13:11:34,2,10,2024
Lycorma delicatula,New Jersey,40.27945,-74.325624,2022-06-07 12:52:08,7,6,2022
Lycorma delicatula,New Jersey,40.393507,-74.273206,2022-11-03 15:31:45,3,11,2022
Lycorma delicatula,New Jersey,40.204589,-74.361904,2022-10-20 15:58:45,20,10,2022
Lycorma delicatula,West Virginia,39.432882,-77.799062,2023-09-12 12:01:55,12,9,2023
Lycorma delicatula,Maryland,39.765759,-78.970516,2024-11-17 14:23,17,11,2024
Lycorma delicatula,New York,40.734741,-73.984872,2025-01-24,24,1,2025
Lycorma delicatula,New York,40.667251,-73.640816,2024-07-27,27,7,2024
Lycorma delicatula,New York,40.667203,-73.640579,2024-07-27,27,7,2024
Lycorma delicatula,New York,40.667282,-73.640308,2024-07-26,26,7,2024
Lycorma delicatula,New York,40.666957,-73.640545,2024-07-27,27,7,2024
Lycorma delicatula,New York,40.667203,-73.640579,2024-07-29,29,7,2024
Lycorma delicatula,New York,40.667203,-73.640579,2024-07-25,25,7,2024
Lycorma delicatula,New York,40.666706,-73.640028,2024-07-31,31,7,2024
Lycorma delicatula,New York,40.666957,-73.640332,2024-07-26,26,7,2024
Lycorma delicatula,New York,40.667007,-73.640674,2024-07-24,24,7,2024
Lycorma delicatula,New York,40.667186,-73.640694,2024-07-30,30,7,2024
Lycorma delicatula,New York,40.667007,-73.640636,2024-07-23,23,7,2024
Lycorma delicatula,New York,40.667123,-73.640856,2024-07-24,24,7,2024
Lycorma delicatula,New York,40.667165,-73.640756,2024-07-18,18,7,2024
Lycorma delicatula,New York,40.667012,-73.640669,2024-01-29,29,1,2024
Lycorma delicatula,New York,40.667203,-73.640579,2024-07-25,25,7,2024
Lycorma delicatula,New York,40.667112,-73.640716,2024-07-30,30,7,2024
Lycorma delicatula,New York,40.667173,-73.640735,2024-07-31,31,7,2024
Lycorma delicatula,New York,40.667203,-73.640579,2024-07-26,26,7,2024
Lycorma delicatula,New York,40.66715,-73.64079,2024-07-28,28,7,2024
Lycorma delicatula,New York,40.667067,-73.640404,2024-07-26,26,7,2024
Lycorma delicatula,New York,40.667115,-73.640693,2024-07-27,27,7,2024
Lycorma delicatula,New York,40.667154,-73.640769,2024-07-29,29,7,2024
Lycorma delicatula,New York,40.667203,-73.640579,2024-07-28,28,7,2024
Lycorma delicatula,New York,40.667011,-73.640488,2024-07-26,26,7,2024
Lycorma delicatula,New York,40.667007,-73.640636,2024-07-27,27,7,2024
Lycorma delicatula,New York,40.666961,-73.64065,2024-07-25,25,7,2024
Lycorma delicatula,New York,40.666913,-73.640554,2024-07-22,22,7,2024
Lycorma delicatula,New York,41.126053,-74.109668,2025-01-19 8:54:49,19,1,2025
Lycorma delicatula,New York,40.667185,-73.640685,2024-07-25,25,7,2024
Lycorma delicatula,New York,40.674522,-73.565681,2024-10-31 13:21:50,31,10,2024
Lycorma delicatula,New York,40.673758,-73.564642,2024-11-01 13:22:54,1,11,2024
Lycorma delicatula,New York,40.675003,-73.565628,2024-10-31 13:24:15,31,10,2024
Lycorma delicatula,New York,40.674811,-73.565542,2024-10-30 14:20:17,30,10,2024
Lycorma delicatula,New York,40.674183,-73.56325,2024-11-07 12:44:53,7,11,2024
Lycorma delicatula,New York,40.67485,-73.565467,2024-11-01 13:26:19,1,11,2024
Lycorma delicatula,New York,40.675003,-73.565628,2024-10-31 13:23:58,31,10,2024
Lycorma delicatula,New York,40.675003,-73.565628,2024-10-31 13:23:45,31,10,2024
Lycorma delicatula,New York,40.674869,-73.565978,2024-10-31 13:22:29,31,10,2024
Lycorma delicatula,New York,40.674522,-73.565681,2024-10-31 13:21:56,31,10,2024
Lycorma delicatula,New York,40.674792,-73.565292,2024-10-24 13:26:10,24,10,2024
Lycorma delicatula,New York,40.674922,-73.565703,2024-10-24 16:15:16,24,10,2024
Lycorma delicatula,New York,40.674839,-73.565964,2024-10-31 13:23:27,31,10,2024
Lycorma delicatula,New York,40.674792,-73.565292,2024-10-24 13:25:36,24,10,2024
Lycorma delicatula,New York,40.674364,-73.564767,2024-10-24 13:24:51,24,10,2024
Lycorma delicatula,Pennsylvania,41.387769,-77.003444,2025-01-14 13:42,14,1,2025
Lycorma delicatula,New York,40.674922,-73.565639,2024-10-24 13:26:50,24,10,2024
Lycorma delicatula,New York,40.693606,-73.557969,2024-10-19 19:37:45,19,10,2024
Lycorma delicatula,Pennsylvania,39.97783,-75.11125,2024-07-10 14:31,10,7,2024
Lycorma delicatula,New York,40.692181,-73.927628,2024-05-19 14:37:26,19,5,2024
Lycorma delicatula,Pennsylvania,41.40832,-75.067957,2023-10-26 9:48:29,26,10,2023
Lycorma delicatula,New York,40.956091,-73.704794,2025-01-07 15:26:32,7,1,2025
Lycorma delicatula,New York,40.80334,-73.959275,2023-07-15 17:30,15,7,2023
Lycorma delicatula,New York,40.730458,-73.467675,2024-06-26 17:17:03,26,6,2024
Lycorma delicatula,Maryland,39.075614,-76.859467,2024-12-31 15:43:23,31,12,2024
Lycorma delicatula,New Jersey,40.971169,-75.107261,2024-08-20 9:26,20,8,2024
Lycorma delicatula,New York,40.584343,-73.805739,2025-01-05 17:46,5,1,2025
Lycorma delicatula,Maryland,39.499241,-77.623995,2024-10-09 13:19,9,10,2024
Lycorma delicatula,Virginia,38.522068,-78.43705,2024-10-31 11:57:44,31,10,2024
Lycorma delicatula,New Jersey,40.47215,-74.27013,2021-08-27 10:06:30,27,8,2021
Lycorma delicatula,Maryland,39.324859,-76.64654,2024-09-01 16:14:04,1,9,2024
Lycorma delicatula,Maryland,39.499241,-77.623995,2024-10-09 13:03,9,10,2024
Lycorma delicatula,Massachusetts,42.297028,-71.311913,2025-01-13 17:17:07,13,1,2025
Lycorma delicatula,New Jersey,40.53363,-74.280342,2024-07-12 17:40:28,12,7,2024
Lycorma delicatula,New York,40.969495,-73.666008,2025-01-03 15:40:07,3,1,2025
Lycorma delicatula,New Jersey,40.574826,-74.506813,2025-01-03 15:15:42,3,1,2025
Lycorma delicatula,Maryland,39.355106,-76.539019,2024-12-31 13:31:26,31,12,2024
Lycorma delicatula,Pennsylvania,40.562867,-76.006772,2019-09-07 14:36:27,7,9,2019
Lycorma delicatula,Maryland,39.526043,-78.568116,2024-12-14 15:47:28,14,12,2024
Lycorma delicatula,Maryland,39.412067,-76.827178,2024-11-27 13:45,27,11,2024
Lycorma delicatula,Pennsylvania,39.952003,-75.194467,2024-10-28 12:57:48,28,10,2024
Lycorma delicatula,Connecticut,41.220562,-73.242395,2024-09-10,10,9,2024
Lycorma delicatula,New York,41.11156,-73.835651,2024-07-17 13:35:19,17,7,2024
Lycorma delicatula,Virginia,38.726135,-77.789636,2024-06-30 20:33:11,30,6,2024
Lycorma delicatula,New York,41.013751,-73.88054,2024-08-18 12:39:12,18,8,2024
Lycorma delicatula,Maryland,39.650261,-78.765144,2024-07-13 14:15:03,13,7,2024
Lycorma delicatula,New York,41.796719,-73.942614,2024-10-21 14:07:12,21,10,2024
Lycorma delicatula,New York,40.716788,-73.948142,2024-12-11 10:31:27,11,12,2024
Lycorma delicatula,Maryland,38.977746,-76.133652,2024-09-06 12:52,6,9,2024
Lycorma delicatula,Pennsylvania,40.469556,-78.405283,2024-09-21 13:35:10,21,9,2024
Lycorma delicatula,New Jersey,40.363828,-74.738762,2024-12-31 14:24:40,31,12,2024
Lycorma delicatula,New York,40.964535,-73.882519,2023-08-31 7:03:55,31,8,2023
Lycorma delicatula,New Jersey,40.766096,-74.043404,2024-08-23 16:58,23,8,2024
Lycorma delicatula,Maryland,39.675678,-76.3975,2022-06-10 15:21:03,10,6,2022
Lycorma delicatula,New York,41.013745,-73.880652,2023-09-17 11:59,17,9,2023
Lycorma delicatula,Connecticut,41.32135,-72.916113,2024-10-29 8:54:47,29,10,2024
Lycorma delicatula,Connecticut,41.331453,-72.919656,2024-12-27 9:21:31,27,12,2024
Lycorma delicatula,New York,40.959587,-73.722635,2024-06-18 19:23:16,18,6,2024
Lycorma delicatula,Maryland,39.071461,-76.716478,2024-12-23 12:35:21,23,12,2024
Lycorma delicatula,New York,40.838833,-73.627813,2024-06-30 11:32:32,30,6,2024
Lycorma delicatula,New York,40.706453,-73.845389,2024-12-29 12:24,29,12,2024
Lycorma delicatula,New York,41.92956,-74.183886,2024-12-28 13:33:32,28,12,2024
Lycorma delicatula,Maryland,39.257637,-76.916588,2024-12-30 16:03:58,30,12,2024
Lycorma delicatula,Connecticut,41.199942,-73.064656,2023-09-19 13:35:48,19,9,2023
Lycorma delicatula,New Jersey,41.203246,-74.569035,2024-07-27 15:24,27,7,2024
Lycorma delicatula,Maryland,39.499241,-77.623995,2024-10-09 12:52,9,10,2024
Lycorma delicatula,Maryland,39.218567,-76.646066,2024-12-16 16:26:55,16,12,2024
Lycorma delicatula,Maryland,39.335655,-77.360917,2024-12-26 14:28:59,26,12,2024
Lycorma delicatula,Virginia,38.907413,-78.006803,2024-07-06 10:16:17,6,7,2024
Lycorma delicatula,Virginia,39.069306,-77.462892,2024-12-18 12:18,18,12,2024
Lycorma delicatula,District of Columbia,38.899985,-77.047707,2024-09-19 18:18:28,19,9,2024
Lycorma delicatula,New Jersey,40.477399,-74.418006,2024-12-29 11:08,29,12,2024
Lycorma delicatula,Virginia,38.969847,-77.872603,2024-09-26 17:17,26,9,2024
Lycorma delicatula,Virginia,38.969791,-77.872518,2024-09-26 17:29,26,9,2024
Lycorma delicatula,Maryland,39.088039,-77.126751,2024-06-09 15:09:51,9,6,2024
Lycorma delicatula,Maryland,39.586412,-77.94513,2024-12-29 15:36:46,29,12,2024
Lycorma delicatula,Connecticut,41.221668,-73.058053,2024-08-17 13:34:35,17,8,2024
Lycorma delicatula,West Virginia,39.325379,-77.738882,2023-09-09 14:06,9,9,2023
Lycorma delicatula,New York,40.910721,-73.894057,2024-10-11 11:20:53,11,10,2024
Lycorma delicatula,Pennsylvania,39.7672,-77.381538,2024-07-21 15:37:32,21,7,2024
Lycorma delicatula,New Jersey,40.766096,-74.043404,2024-08-21 0:35,21,8,2024
Lycorma delicatula,New York,41.049886,-73.740303,2023-08-23 10:21:50,23,8,2023
Lycorma delicatula,Pennsylvania,40.340365,-78.894008,2024-12-26 13:28:12,26,12,2024
Lycorma delicatula,Maryland,39.499241,-77.623995,2024-10-09 12:51,9,10,2024
Lycorma delicatula,Virginia,39.16845,-78.155731,2021-06-23 15:42,23,6,2021
Lycorma delicatula,Virginia,38.597351,-78.449764,2024-08-11 16:30,11,8,2024
Lycorma delicatula,New Jersey,40.77514,-74.430117,2024-09-05 11:18,5,9,2024
Lycorma delicatula,Maryland,39.1441,-77.021483,2024-12-01 11:08:31,1,12,2024
Lycorma delicatula,Maryland,39.066686,-76.720345,2024-11-27 12:19:29,27,11,2024
Lycorma delicatula,New Jersey,41.203246,-74.569035,2024-09-21 13:08,21,9,2024
Lycorma delicatula,New Jersey,40.598383,-75.162852,2024-12-01 11:28:18,1,12,2024
Lycorma delicatula,New York,41.296485,-73.743444,2024-11-27 13:54:58,27,11,2024
Lycorma delicatula,Virginia,38.544532,-78.286046,2024-11-23 11:25,23,11,2024
Lycorma delicatula,West Virginia,39.487974,-77.805382,2024-06-04 13:17:59,4,6,2024
Lycorma delicatula,New York,40.893589,-73.898828,2024-10-12 11:45,12,10,2024
Lycorma delicatula,New York,40.893589,-73.898828,2024-10-12 10:59,12,10,2024
Lycorma delicatula,District of Columbia,38.945358,-77.082572,2024-11-29 11:51:42,29,11,2024
Lycorma delicatula,Maryland,39.071636,-76.715875,2024-11-28 13:57:30,28,11,2024
Lycorma delicatula,Maryland,39.071625,-76.716042,2024-11-26 15:40:16,26,11,2024
Lycorma delicatula,New York,40.81712,-73.876797,2024-09-20 9:21,20,9,2024
Lycorma delicatula,New York,40.81711,-73.87677,2024-09-27 16:18,27,9,2024
Lycorma delicatula,New York,41.050694,-73.70402,2024-09-16 17:45:39,16,9,2024
Lycorma delicatula,New York,40.707271,-74.017326,2024-05-28 14:41:30,28,5,2024
Lycorma delicatula,Pennsylvania,40.383519,-75.787814,2017-06-18 9:36,18,6,2017
Lycorma delicatula,Rhode Island,41.817106,-71.421085,2024-09-13 17:09:47,13,9,2024
Lycorma delicatula,New Jersey,39.508812,-74.322034,2024-09-10 14:52,10,9,2024
Lycorma delicatula,New York,40.707008,-74.01894,2022-05-31 11:12:15,31,5,2022
Lycorma delicatula,New York,40.706781,-74.018887,2023-05-27 13:12:14,27,5,2023
Lycorma delicatula,New York,40.706767,-74.019143,2021-08-03 14:27:38,3,8,2021
Lycorma delicatula,New York,40.713529,-74.014111,2021-08-04 6:42:09,4,8,2021
Lycorma delicatula,Virginia,38.825148,-77.501918,2024-07-21 10:37,21,7,2024
Lycorma delicatula,Pennsylvania,40.397954,-77.799414,2024-12-04 10:52,4,12,2024
Lycorma delicatula,Virginia,38.702392,-77.554497,2024-12-01 14:22:21,1,12,2024
Lycorma delicatula,Maryland,39.071603,-76.71602,2024-11-29 10:15:48,29,11,2024
Lycorma delicatula,New Jersey,40.393738,-74.102277,2023-07-07 16:03,7,7,2023
Lycorma delicatula,Maryland,39.020164,-77.098964,2024-11-09 14:48:50,9,11,2024
Lycorma delicatula,Maryland,39.604722,-77.464447,2024-11-27 14:00:57,27,11,2024
Lycorma delicatula,Connecticut,41.210822,-73.181145,2024-10-06 16:23:06,6,10,2024
Lycorma delicatula,Pennsylvania,39.975308,-77.530142,2024-09-12 10:14,12,9,2024
Lycorma delicatula,New York,40.706612,-74.018571,2023-05-12 15:04:17,12,5,2023
Lycorma delicatula,New York,40.810308,-73.957158,2023-06-02 14:57,2,6,2023
Lycorma delicatula,New York,40.706855,-74.019144,2021-08-31 15:03:11,31,8,2021
Lycorma delicatula,West Virginia,39.486263,-77.801247,2024-12-10 13:15:07,10,12,2024
Lycorma delicatula,Virginia,39.099695,-77.836188,2024-09-13 14:48:23,13,9,2024
Lycorma delicatula,New York,40.7139,-74.014781,2021-07-27 11:57:19,27,7,2021
Lycorma delicatula,New York,41.285996,-73.752385,2024-12-07 14:29,7,12,2024
Lycorma delicatula,Maryland,39.414269,-77.410541,2024-11-05 10:19,5,11,2024
Lycorma delicatula,New York,40.706469,-74.018302,2021-07-19 8:54:16,19,7,2021
Lycorma delicatula,New York,40.818723,-73.881135,2024-09-20 14:42,20,9,2024
Lycorma delicatula,New Jersey,40.669117,-74.593947,2022-09-18 12:10:11,18,9,2022
Lycorma delicatula,Pennsylvania,39.983725,-75.103642,2021-07-09 10:29:44,9,7,2021
Lycorma delicatula,New Jersey,39.508963,-74.319117,2024-09-10 14:36,10,9,2024
Lycorma delicatula,New York,40.743492,-73.740897,2024-07-11 13:02:27,11,7,2024
Lycorma delicatula,New York,40.706599,-74.018543,2024-05-21 10:51:26,21,5,2024
Lycorma delicatula,New York,40.7066,-74.018741,2024-05-28 14:32:37,28,5,2024
Lycorma delicatula,Maryland,39.066672,-76.720337,2024-12-01 14:12:47,1,12,2024
Lycorma delicatula,Pennsylvania,39.93438,-77.646692,2024-09-19 12:31,19,9,2024
Lycorma delicatula,Maryland,39.045755,-76.641271,2024-11-05 10:21,5,11,2024
Lycorma delicatula,New Jersey,39.636102,-74.201519,2023-07-17 14:34:42,17,7,2023
Lycorma delicatula,Pennsylvania,40.148822,-76.315378,2024-11-28 10:49,28,11,2024
Lycorma delicatula,New York,40.817262,-73.876353,2024-10-10 14:34,10,10,2024
Lycorma delicatula,Pennsylvania,40.274547,-76.121107,2024-12-08 15:17,8,12,2024
Lycorma delicatula,Pennsylvania,40.166406,-75.190895,2024-10-15 15:16:48,15,10,2024
Lycorma delicatula,New York,40.708059,-74.018298,2022-08-02 8:02:53,2,8,2022
Lycorma delicatula,New York,40.70693,-74.019036,2024-07-19 9:21:57,19,7,2024
Lycorma delicatula,Connecticut,41.221342,-73.247425,2024-12-02 17:54:15,2,12,2024
Lycorma delicatula,Maryland,39.248064,-75.86033,2024-11-19 16:23:07,19,11,2024
Lycorma delicatula,District of Columbia,38.887281,-77.004956,2024-10-24 15:02,24,10,2024
Lycorma delicatula,New York,40.870589,-73.791986,2024-11-02 13:28:18,2,11,2024
Lycorma delicatula,New Jersey,39.636102,-74.201519,2023-07-17 14:34:42,17,7,2023
Lycorma delicatula,New York,40.87378,-73.873353,2024-10-01 16:27,1,10,2024
Lycorma delicatula,New York,40.816895,-73.87642,2024-10-12 11:36,12,10,2024
Lycorma delicatula,Maryland,39.414269,-77.410541,2024-11-05 10:20,5,11,2024
Lycorma delicatula,New York,40.702145,-73.996643,2024-08-17 12:01:34,17,8,2024
Lycorma delicatula,Maryland,39.053696,-76.96798,2024-11-07 14:44:06,7,11,2024
Lycorma delicatula,New York,41.146573,-74.116862,2024-11-24 9:26:25,24,11,2024
Lycorma delicatula,Virginia,39.122407,-77.522013,2024-11-23 12:00:23,23,11,2024
Lycorma delicatula,Virginia,38.884507,-78.015044,2024-08-18 11:04:10,18,8,2024
Lycorma delicatula,New York,40.640588,-73.909992,2024-07-04 5:12,4,7,2024
Lycorma delicatula,Virginia,38.96273,-77.612014,2024-11-06 15:35:26,6,11,2024
Lycorma delicatula,New Jersey,40.447229,-73.989333,2024-11-17 14:46:08,17,11,2024
Lycorma delicatula,West Virginia,39.487797,-77.805143,2024-11-20 7:28:15,20,11,2024
Lycorma delicatula,Maryland,39.066661,-76.720322,2024-11-23 15:59:35,23,11,2024
Lycorma delicatula,Maryland,39.609048,-77.750779,2022-08-02 19:58:52,2,8,2022
Lycorma delicatula,New York,41.146573,-74.116862,2024-11-24 9:26:38,24,11,2024
Lycorma delicatula,Connecticut,41.301441,-72.936803,2024-09-23 19:38,23,9,2024
Lycorma delicatula,Maryland,39.066678,-76.720322,2024-11-21 11:45:30,21,11,2024
Lycorma delicatula,Maryland,39.315415,-76.875273,2024-10-12 11:27,12,10,2024
Lycorma delicatula,Virginia,38.994357,-77.951005,2024-08-18 13:56:47,18,8,2024
Lycorma delicatula,New York,40.893589,-73.898828,2024-10-31 11:51:24,31,10,2024
Lycorma delicatula,New York,40.817323,-73.87639,2024-09-18 14:17,18,9,2024
Lycorma delicatula,New Jersey,40.814238,-73.999428,2024-11-23 11:50:58,23,11,2024
Lycorma delicatula,New York,41.621658,-73.925131,2024-09-01 12:55,1,9,2024
Lycorma delicatula,Maryland,39.241822,-76.840513,2024-11-22 8:34:42,22,11,2024
Lycorma delicatula,Maryland,39.07771,-76.772764,2024-10-30 20:09,30,10,2024
Lycorma delicatula,Maryland,39.494477,-76.691664,2023-06-28 9:36:55,28,6,2023
Lycorma delicatula,West Virginia,39.458534,-77.937075,2024-10-13 15:35,13,10,2024
Lycorma delicatula,New Jersey,38.940455,-74.971375,2024-10-14 10:08:58,14,10,2024
Lycorma delicatula,Virginia,38.972136,-77.308309,2024-11-20 14:08:47,20,11,2024
Lycorma delicatula,West Virginia,39.485266,-77.800836,2024-06-07 12:25:52,7,6,2024
Lycorma delicatula,Maryland,38.980411,-76.942481,2024-09-21 14:28,21,9,2024
